-1 1:1 2:0 3:0.99539 4:-0.05889 5:0.85243 6:0.02306 7:0.83398 8:-0.37708 9:1 10:0.0376 11:0.85243 12:-0.17755 13:0.59755 14:-0.44945 15:0.60536 16:-0.38223 17:0.84356 18:-0.38542 19:0.58212 20:-0.32192 21:0.56971 22:-0.29674 23:0.36946 24:-0.47357 25:0.56811 26:-0.51171 27:0.41078 28:-0.46168 29:0.21266 30:-0.3409 31:0.42267 32:-0.54487 33:0.18641 34:-0.453 
1 1:-0.67226 2:0.64727 3:-0.64537 4:0.68714 5:-0.68794 6:0.65723 7:-0.5837 8:0.76224 9:-0.47137 10:0.8408 11:-0.5122 12:0.82987 13:-0.47308 14:0.86043 15:-0.43383 16:0.90137 17:-0.28106 18:0.94486 19:-0.34412 20:0.93719 21:-0.29785 22:0.95735 23:-0.35151 24:0.94055 25:-0.19277 26:1 27:-0.15197 28:0.99999 29:-0.10169 30:1 31:-0.16316 32:1 33:0 34:1 
-1 1:-0.18826 2:1 3:0.88428 4:1 5:-0.66494 6:1 7:0.35924 8:1 9:-0.17012 10:1 11:0.62349 12:1 13:0.15803 14:0.61831 15:-1 16:1 17:-1 18:1 19:-0.14767 20:1 21:0.07772 22:1 23:0.35147 24:1 25:-0.1209 26:1 27:-0.39896 28:0.85492 29:0.2228 30:1 31:-0.86701 32:1 33:0 34:1 
1 1:0.46712 2:1 3:0.32492 4:1 5:0.48641 6:0.95603 7:0.36743 8:1 9:0.20033 10:1 11:0.4175 12:1 13:0.44758 14:1 15:0.27087 16:1 17:0.10561 18:1 19:0.12785 20:1 21:0.20328 22:1 23:0.19651 24:1 25:0.08764 26:1 27:-0.05563 28:1 29:0.0342 30:1 31:0.0738 32:1 33:0 34:1 
-1 1:0 2:0 3:0.23188 4:1 5:0 6:0 7:0.26501 8:0.39752 9:0.92236 10:-0.16253 11:0 12:0 13:0 14:0 15:-1 16:1 17:0.03623 18:-0.37681 19:-0.34265 20:-1 21:0 22:0 23:-1 24:0.43685 25:-1 26:1 27:-1 28:-0.0352 29:0.26708 30:1 31:-0.93996 32:0.50932 33:0 34:1 
1 1:0.12015 2:0.70941 3:0.1593 4:0.77122 5:0.15379 6:0.7911 7:0.13638 8:0.79476 9:0.13412 10:0.81329 11:0.14442 12:0.83668 13:0.1183 14:0.81633 15:0.08631 16:0.86104 17:0.1112 18:0.88809 19:0.05269 20:0.94212 21:0.10346 22:0.89323 23:0.07808 24:0.99274 25:0.02312 26:0.96112 27:0.02498 28:0.97811 29:-0.01236 30:1 31:0.06468 32:0.99645 33:0 34:1 
-1 1:-1 2:1 3:-1 4:-1 5:1 6:-1 7:-1 8:1 9:1 10:-1 11:1 12:-1 13:-1 14:1 15:1 16:-1 17:-1 18:-1 19:1 20:1 21:-1 22:1 23:1 24:-1 25:1 26:-1 27:1 28:1 29:-1 30:-1 31:0 32:0 33:0 34:0 
1 1:0.33036 2:1 3:0.25792 4:0.40663 5:0.25306 6:0.43433 7:0.24618 8:0.46167 9:0.23724 10:0.48838 11:0.22625 12:0.5142 13:0.21326 14:0.53888 15:0.41224 16:0.14395 17:0.18151 18:0.58373 19:0.10976 20:0.78637 21:0.14285 22:0.62099 23:0.12131 24:0.63621 25:0.34081 26:0.08776 27:0.18761 28:0.57197 29:0.05031 30:0.66626 31:0.02528 32:0.67065 33:0 34:1 
-1 1:1 2:1 3:1 4:1 5:-1 6:1 7:1 8:1 9:1 10:-1 11:0.5625 12:1 13:1 14:-1 15:1 16:1 17:1 18:-1 19:0 20:0 21:1 22:-0.71875 23:-1 24:1 25:1 26:1 27:0 28:0 29:0 30:0 31:-1 32:1 33:0 34:0 
1 1:-0.45039 2:0.74354 3:-0.40575 4:0.80448 5:-0.38231 6:0.75784 7:-0.42231 8:0.82681 9:-0.40372 10:0.81874 11:-0.46866 12:0.9606 13:-0.44072 14:0.91693 15:-0.34534 16:0.86473 17:-0.31884 18:0.92124 19:-0.15616 20:1 21:-0.39489 22:1 23:-0.11073 24:1 25:-0.10605 26:1 27:-0.07649 28:1 29:-0.09834 30:1 31:-0.00612 32:1 33:0 34:1 
-1 1:1 2:-1 3:1 4:-1 5:1 6:-1 7:-1 8:1 9:0 10:0 11:0 12:0 13:1 14:-1 15:1 16:-1 17:-1 18:-1 19:-1 20:-1 21:0 22:0 23:0 24:0 25:-1 26:-1 27:0 28:0 29:0 30:0 31:1 32:1 33:0 34:0 
1 1:-0.00182 2:0.52099 3:-1.5e-4 4:0.5131 5:-0.01251 6:0.49664 7:-0.02205 8:0.58051 9:-0.07705 10:0.55677 11:-0.05929 12:0.64158 13:-0.07905 14:0.65961 15:-0.05295 16:0.75206 17:0.0028 18:0.76544 19:0.09831 20:0.87534 21:-0.06142 22:0.8325 23:0.0258 24:0.89263 25:-0.05144 26:0.90169 27:0.09313 28:1 29:0.04296 30:1 31:0.07088 32:0.96071 33:0 34:1 
-1 1:0 2:0 3:1 4:-1 5:1 6:1 7:-1 8:1 9:-1 10:-1 11:0 12:0 13:1 14:1 15:1 16:-1 17:-1 18:1 19:0 20:0 21:0 22:0 23:1 24:1 25:1 26:-1 27:0 28:0 29:0 30:0 31:1 32:-1 33:0 34:0 
1 1:-0.39487 2:0.64207 3:-0.26284 4:0.54356 5:-0.38576 6:0.73094 7:-0.29174 8:0.72529 9:-0.34838 10:0.84932 11:-0.31654 12:0.80852 13:-0.31558 14:0.9491 15:-0.20367 16:0.65731 17:-0.07379 18:0.6917 19:-0.06598 20:0.93392 21:-0.05202 22:0.84493 23:-0.11726 24:1 25:-0.01707 26:1 27:-0.05131 28:1 29:0.02942 30:1 31:-0.06182 32:1 33:0 34:1 
-1 1:-1 2:1 3:-1 4:1 5:-1 6:1 7:-1 8:1 9:-1 10:1 11:-1 12:1 13:-0.62796 14:1 15:-1 16:1 17:-1 18:1 19:-1 20:1 21:-1 22:1 23:-1 24:1 25:-1 26:1 27:-1 28:1 29:-1 30:1 31:0.5782 32:1 33:0 34:1 
1 1:-1 2:-0.13341 3:-0.92128 4:0.32984 5:-0.89674 6:0.4065 7:-0.86583 8:0.48136 9:-0.82868 10:0.55389 11:-0.78547 12:0.62357 13:0.11053 14:0.90284 15:-1 16:0.12245 17:-0.6218 18:0.81051 19:-0.23433 20:0.87937 21:-0.31736 22:0.88486 23:-0.41382 24:0.95473 25:0.61053 26:0.94817 27:-0.81779 28:0.86635 29:-0.17263 30:1 31:-0.08714 32:1 33:0 34:1 
-1 1:1 2:-1 3:0 4:0 5:-1 6:-1 7:1 8:-1 9:-1 10:1 11:0 12:0 13:-1 14:1 15:-1 16:-1 17:-1 18:1 19:0 20:0 21:0 22:0 23:0 24:0 25:-0.375 26:1 27:1 28:-1 29:0 30:0 31:-1 32:-1 33:0 34:0 
1 1:1 2:0.52479 3:1 4:0.64358 5:1 6:0.74822 7:1 8:0.83899 9:1 10:0.91624 11:1 12:0.98042 13:1 14:1 15:0.95099 16:1 17:0.82777 18:1 19:0.70758 20:1 21:0.59113 22:1 23:0.47904 24:1 25:0.6452 26:0.98172 27:-0.13308 28:1 29:0.17387 30:1 31:0.0838 32:1 33:0 34:1 
-1 1:-1 2:1 3:1 4:-1 5:-1 6:1 7:-1 8:1 9:1 10:1 11:-1 12:1 13:-1 14:1 15:-1 16:-1 17:1 18:1 19:0 20:0 21:-1 22:-1 23:-1 24:1 25:1 26:-1 27:-1 28:1 29:1 30:1 31:-1 32:-1 33:0 34:0 
1 1:-0.84437 2:1 3:-0.75761 4:1 5:-0.7582 6:1 7:-0.49687 8:0.9882 9:-0.47643 10:1 11:-0.59661 12:1 13:-0.35519 14:1 15:-0.46162 16:1 17:-0.38606 18:1 19:-0.21975 20:1 21:-0.26161 22:1 23:-0.2501 24:1 25:-0.07514 26:1 27:-0.23656 28:1 29:-0.16256 30:1 31:-0.14236 32:1 33:0 34:1 
-1 1:1 2:1 3:1 4:1 5:-0.79141 6:1 7:1 8:1 9:0 10:0 11:-1 12:1 13:1 14:1 15:-0.85583 16:1 17:1 18:1 19:-1 20:1 21:-0.0184 22:1 23:-1 24:1 25:-1 26:1 27:-1 28:1 29:1 30:1 31:-1 32:1 33:0 34:1 
1 1:-0.58086 2:0.42189 3:-0.57377 4:0.47075 5:-0.59854 6:0.50179 7:-0.54629 8:0.56804 9:-0.48086 10:0.61297 11:-0.50085 12:0.6615 13:-0.47153 14:0.70555 15:-0.47022 16:0.75243 17:-0.33632 18:0.80681 19:-0.35924 20:0.82116 21:-0.31463 22:0.85269 23:-0.31809 24:0.88462 25:-0.17036 26:0.88307 27:-0.1645 28:0.921 29:-0.11057 30:0.93408 31:-0.14639 32:0.88208 33:0 34:1 
-1 1:-1 2:-0.23186 3:-0.87354 4:0.86136 5:-0.21901 6:0.63811 7:-0.41307 8:0.93124 9:-0.20392 10:0.65493 11:0.05456 12:0.51933 13:0.9273 14:-0.25914 15:-0.28257 16:0.8076 17:-0.17863 18:0.8227 19:-1 20:0.83726 21:1 22:0.58965 23:-0.10951 24:1 25:-0.10236 26:0.99709 27:-0.09473 28:0.98019 29:-0.23067 30:0.41287 31:-0.02595 32:0.71253 33:0 34:1 
1 1:-0.57758 2:1 3:0.53372 4:1 5:-0.11129 6:1 7:-0.11582 8:1 9:0.14803 10:1 11:-0.91338 12:0.92599 13:-0.01891 14:0.96354 15:0.2659 16:1 17:0.39337 18:1 19:0.14638 20:0.76837 21:-0.12527 22:0.79962 23:-0.49863 24:1 25:-0.28207 26:1 27:-0.58388 28:0.83443 29:0.27686 30:0.72314 31:-0.15899 32:1 33:0 34:1 
-1 1:0.34732 2:1 3:0.65268 4:1 5:-0.3625 6:0.95982 7:-0.08571 8:1 9:0.85357 10:1 11:-1 12:1 13:0.85268 14:1 15:0.78036 16:1 17:0.70982 18:0.17589 19:0.73393 20:1 21:-0.89375 22:1 23:-1 24:1 25:-0.40446 26:0.80893 27:-0.67321 28:1 29:1 30:1 31:-1 32:0.66161 33:0 34:1 
1 1:-0.20766 2:0.83867 3:-0.20101 4:0.83777 5:-0.18552 6:0.85644 7:-0.17909 8:0.89067 9:-0.20851 10:0.89469 11:-0.13565 12:0.94815 13:-0.14248 14:0.99589 15:-0.14327 16:0.94184 17:-0.13665 18:0.92561 19:-0.07917 20:0.97261 21:-0.06544 22:1 23:-0.06256 24:0.97839 25:-0.07014 26:1 27:-0.0296 28:1 29:-0.01209 30:1 31:0.00433 32:1 33:0 34:1 
-1 1:0 2:0 3:1 4:1 5:1 6:-1 7:1 8:1 9:-1 10:1 11:1 12:-1 13:1 14:-1 15:1 16:1 17:1 18:-1 19:0 20:0 21:0 22:0 23:-1 24:-1 25:0 26:0 27:0 28:0 29:-1 30:1 31:1 32:1 33:0 34:0 
1 1:0.11447 2:0.65258 3:0.10754 4:0.70925 5:0.153 6:0.66387 7:0.13282 8:0.7355 9:0.11299 10:0.75755 11:0.14222 12:0.77041 13:0.11849 14:0.80983 15:0.14439 16:0.83744 17:0.12722 18:0.88899 19:0.06211 20:0.92048 21:0.12067 22:0.92766 23:0.06348 24:0.91911 25:0.01321 26:0.93582 27:0.05345 28:0.94705 29:0.0228 30:0.94191 31:0.04347 32:0.91241 33:0 34:1 
-1 1:1 2:1 3:0.14677 4:0.38352 5:0.15436 6:0.43481 7:0.16019 8:0.48867 9:0.1639 10:0.54446 11:0.16516 12:0.60138 13:0.16371 14:0.6585 15:0.41003 16:1 17:0.15189 18:0.76929 19:0.14137 20:0.82077 21:0.5364 22:0.88462 23:0.11147 24:0.91036 25:-1 26:0.61745 27:0.07143 28:0.97545 29:0.04861 30:0.99672 31:0.02461 32:1 33:0 34:1 
1 1:0.71444 2:0.0699 3:0.72688 4:0.11372 5:0.70682 6:0.19296 7:0.72386 8:0.27712 9:0.72082 10:0.34384 11:0.6884 12:0.40553 13:0.67135 14:0.47807 15:0.62999 16:0.57619 17:0.60756 18:0.65954 19:0.52321 20:0.79555 21:0.50082 22:0.75474 23:0.39039 24:0.86773 25:0.32213 26:0.93051 27:0.26281 28:1 29:0.20746 30:1 31:0.06538 32:1 33:0 34:1 
-1 1:0 2:0 3:1 4:1 5:-1 6:-1 7:-1 8:1 9:-1 10:-1 11:1 12:-1 13:-1 14:1 15:-1 16:0.0875 17:-1 18:-1 19:-1 20:0.17917 21:1 22:1 23:1 24:-1 25:0 26:0 27:-0.14375 28:1 29:1 30:1 31:-1 32:-1 33:0 34:1 
1 1:0.67739 2:0.12137 3:0.55061 4:0.06927 5:0.56101 6:0.12635 7:0.56605 8:0.18626 9:0.56527 10:0.24856 11:0.55826 12:0.31274 13:0.54462 14:0.37824 15:0.12967 16:0.31639 17:0.49618 18:0.51067 19:0.46086 20:0.5762 21:0.42739 22:0.16286 23:0.36719 24:0.70207 25:0.68154 26:0.55187 27:0.16598 28:1 29:0.16888 30:0.86528 31:0.08791 32:0.90932 33:0 34:1 
-1 1:-1 2:1 3:-1 4:1 5:-1 6:1 7:1 8:1 9:0.85714 10:0.5375 11:1 12:-0.84286 13:-0.03393 14:1 15:-1 16:1 17:0.13839 18:1 19:-1 20:1 21:-0.37679 22:1 23:0.96161 24:1 25:-0.23393 26:1 27:-1 28:1 29:0.82857 30:1 31:-1 32:-0.64286 33:0 34:1 
1 1:-0.83245 2:0.49195 3:-0.80278 4:0.54752 5:-0.75353 6:0.6101 7:-0.73174 8:0.65247 9:-0.68479 10:0.68282 11:-0.64615 12:0.74725 13:-0.59839 14:0.79016 15:-0.57075 16:0.87433 17:-0.52064 18:0.84922 19:-0.43796 20:0.89812 21:-0.37965 22:0.92651 23:-0.3013 24:0.92738 25:-0.25843 26:0.99374 27:-0.1943 28:0.98663 29:-0.13009 30:0.99793 31:-0.05785 32:0.99025 33:0 34:1 
-1 1:0 2:0 3:0 4:1 5:1 6:-1 7:-1 8:-1 9:-1 10:-1 11:0 12:0 13:0 14:0 15:-1 16:-1 17:-1 18:-0.375 19:0 20:0 21:0 22:0 23:1 24:1 25:1 26:1 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 
1 1:-0.50152 2:0.75115 3:-0.47977 4:0.77919 5:-0.42593 6:0.81433 7:-0.43122 8:0.83172 9:-0.4299 10:0.86213 11:-0.37643 12:0.87874 13:-0.34691 14:0.89991 15:-0.32152 16:0.90581 17:-0.344 18:0.91236 19:-0.25099 20:0.95288 21:-0.21695 22:0.96674 23:-0.13814 24:0.98941 25:-0.09931 26:0.99838 27:-0.11039 28:0.99601 29:-0.07383 30:1 31:-0.0373 32:1 33:0 34:1 
-1 1:0.41913 2:-0.06117 3:0.20477 4:-0.09634 5:-0.61393 6:1 7:-0.5813 8:0.52208 9:-0.46734 10:0.83872 11:0.37361 12:-0.73864 13:-0.31454 14:-0.29735 15:-0.50424 16:1 17:-0.4627 18:0.91921 19:0.15452 20:-0.54852 21:-0.0055 22:-0.2902 23:-0.03353 24:1 25:-0.63427 26:0.69258 27:0.35639 28:-0.36393 29:0.26131 30:-1 31:-0.02685 32:0.94598 33:0 34:1 
1 1:-0.23902 2:0.74323 3:-0.23095 4:0.76911 5:-0.23864 6:0.78546 7:-0.21136 8:0.81813 9:-0.19689 10:0.88487 11:-0.18739 12:0.86257 13:-0.17387 14:0.88274 15:-0.192 16:0.79682 17:-0.11583 18:0.94217 19:-0.1279 20:0.93369 21:-0.11102 22:0.94713 23:-0.04507 24:0.99004 25:-0.06971 26:0.95947 27:-0.05699 28:0.97565 29:-0.03818 30:0.98103 31:0.00874 32:0.98166 33:0 34:1 
-1 1:0 2:0 3:0 4:0 5:0.81573 6:-1 7:-1 8:1 9:0.44828 10:-0.90302 11:0.35668 12:0.53448 13:0 14:0 15:0.63147 16:0.7694 17:-0.83297 18:-0.55711 19:-0.22414 20:-1 21:0 22:0 23:0 24:0 25:-1 26:0.10991 27:0 28:0 29:0.51724 30:1 31:0 32:0 33:0 34:1 
1 1:-0.01425 2:0.93323 3:-0.25706 4:0.84463 5:-0.32298 6:0.61582 7:-0.01158 8:0.93358 9:-0.02778 10:0.90066 11:-0.1629 12:0.4661 13:1 14:1 15:-0.20104 16:0.86676 17:-0.2952 18:0.75 19:-0.57486 20:0.91714 21:0.54991 22:0.88559 23:-0.01789 24:0.81121 25:0.13795 26:0.87947 27:-0.00267 28:0.93421 29:0.02919 30:0.43644 31:-0.18362 32:0.84134 33:0 34:1 
-1 1:0 2:0 3:0 4:0 5:-1 6:-1 7:1 8:1 9:-1 10:1 11:-1 12:1 13:0 14:0 15:1 16:-1 17:-1 18:1 19:-1 20:-1 21:1 22:1 23:1 24:1 25:0 26:0 27:0 28:0 29:-1 30:1 31:1 32:1 33:0 34:0 
1 1:0.34845 2:1 3:-0.34686 4:1 5:-1 6:1 7:-1 8:1 9:-1 10:0.90014 11:-1 12:-0.52838 13:-1 14:-1 15:-0.42052 16:-1 17:-0.57779 18:-1 19:0.72526 20:-1 21:1 22:-1 23:1 24:-0.83152 25:1 26:-0.2697 27:1 28:0.9101 29:1 30:1 31:1 32:1 33:0 34:1 
-1 1:0.33611 2:1 3:1 4:-1 5:-1 6:-1 7:-1 8:1 9:1 10:-0.18856 11:-1 12:-1 13:-1 14:1 15:1 16:0.8384 17:1 18:-1 19:-1 20:0.88683 21:1 22:1 23:-1 24:-1 25:-1 26:0.03515 27:0.63317 28:1 29:1 30:-1 31:-1 32:-0.67935 33:0 34:1 
1 1:-0.41173 2:0.82166 3:-0.39061 4:0.83951 5:-0.30619 6:0.92059 7:-0.34586 8:0.87244 9:-0.40747 10:0.99899 11:-0.29807 12:0.9014 13:-0.27316 14:0.91428 15:-0.35902 16:0.90343 17:-0.32268 18:0.9963 19:-0.19497 20:0.94612 21:-0.16795 22:0.95436 23:0.01279 24:0.94717 25:-0.06561 26:0.96097 27:-0.08484 28:0.97165 29:-0.05667 30:0.97487 31:0.08143 32:0.95659 33:0 34:1 
-1 1:0.61458 2:-1 3:-1 4:-1 5:-0.38914 6:-1 7:-1 8:1 9:0.2381 10:-1 11:-0.46801 12:-1 13:-1 14:-0.74628 15:-0.42113 16:-0.42113 17:0.59152 18:-0.02753 19:1 20:-1 21:-1 22:-1 23:-0.62723 24:-0.82143 25:0.47173 26:0.71875 27:1 28:-1 29:1 30:-1 31:-0.20685 32:0.08333 33:0 34:1 
1 1:-0.22981 2:0.73992 3:-0.22765 4:0.78479 5:-0.2237 6:0.8292 7:-0.21793 8:0.8728 9:-0.92284 10:1 11:-0.20081 12:0.95601 13:-0.18949 14:0.99484 15:-0.17639 16:1 17:0.32407 18:1 19:-0.14522 20:1 21:-0.12738 22:1 23:0.56173 24:1 25:-0.08799 26:1 27:-0.06682 28:1 29:-0.04494 30:1 31:-0.02259 32:1 33:0 34:1 
-1 1:-1 2:-1 3:0 4:0 5:1 6:1 7:1 8:1 9:-1 10:1 11:1 12:1 13:-1 14:-1 15:-1 16:1 17:-1 18:-1 19:1 20:1 21:-0.1875 22:-1 23:1 24:1 25:0 26:0 27:1 28:-1 29:-1 30:1 31:1 32:-1 33:0 34:0 
1 1:0.31166 2:0.83574 3:0.29576 4:0.78324 5:0.22511 6:0.88568 7:0.23571 8:0.88423 9:0.22431 10:0.91667 11:0.1641 12:0.90784 13:0.14258 14:0.99695 15:0.16265 16:0.96741 17:0.20119 18:0.90896 19:0.11224 20:0.94862 21:0.14644 22:0.95713 23:0.07033 24:0.94846 25:-0.01911 26:1 27:0.13231 28:0.99952 29:0.07418 30:0.94525 31:0.05812 32:1 33:0 34:1 
-1 1:0 2:0 3:0 4:0 5:0.67708 6:-1 7:1 8:1 9:0.9625 10:-0.84792 11:-0.27083 12:-1 13:0 14:0 15:0.14375 16:0.51979 17:0.36146 18:0.80521 19:-0.67708 20:-0.61354 21:0 22:0 23:1 24:-1 25:0 26:0 27:0 28:0 29:1 30:-1 31:-1 32:0.17188 33:0 34:1 
1 1:0.50903 2:0.54252 3:0.47033 4:0.56791 5:0.46031 6:0.62764 7:0.42746 8:0.68452 9:0.34658 10:0.76193 11:0.39597 12:0.74829 13:0.31698 14:0.83393 15:0.33129 16:0.83656 17:0.26721 18:0.85529 19:0.28343 20:0.89241 21:0.24288 22:0.92992 23:0.19211 24:0.9493 25:0.09237 26:0.98602 27:0.22574 28:1 29:0.12197 30:1 31:0.09771 32:1 33:0 34:1 
-1 1:-0.27292 2:1 3:0 4:0 5:0.18854 6:-1 7:-0.76667 8:1 9:-0.16667 10:-0.10625 11:-1 12:0.08333 13:0 14:0 15:-0.42292 16:1 17:0.82813 18:0.22813 19:-0.55 20:0.12292 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:-0.35625 32:0.01667 33:0 34:1 
1 1:0.78685 2:0.22101 3:0.66844 4:0.33921 5:0.76147 6:0.35684 7:0.69129 8:0.43317 9:0.55236 10:0.48311 11:0.6472 12:0.55586 13:0.58071 14:0.56553 15:0.56977 16:0.65091 17:0.48311 18:0.78473 19:0.49225 20:0.81011 21:0.46899 22:0.8425 23:0.37107 24:0.91408 25:0.2261 26:0.91759 27:0.33347 28:0.94616 29:0.16334 30:0.99352 31:0.16801 32:1 33:0 34:1 
-1 1:1 2:1 3:-1 4:0.20614 5:1 6:1 7:-0.0614 8:1 9:-1 10:0.80921 11:1 12:-1 13:-0.4386 14:0.32675 15:-0.03289 16:0.14254 17:-1 18:-0.51535 19:0.05044 20:0.01754 21:0.58772 22:-0.05921 23:1 24:-0.66886 25:0.30921 26:0.87719 27:1 28:1 29:-1 30:0.20833 31:1 32:0.63816 33:0 34:1 
1 1:-0.05402 2:0.51382 3:0.19849 4:0.4397 5:-0.27387 6:1 7:-0.07249 8:0.9289 9:0.10678 10:0.93593 11:-0.12312 12:1 13:-0.19095 14:0.88065 15:-0.24497 16:0.80025 17:-0.50126 18:0.97613 19:0.00879 20:1 21:-0.1608 22:0.65452 23:0.4799 24:0.93844 25:-0.09925 26:1 27:0.18593 28:0.8706 29:0.76131 30:1 31:-0.41457 32:1 33:0 34:1 
